player_id,name,class,college,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
cedric-simmons-1,Cedric Simmons,Player,nc state,68,115,0.568,0.565,0.7340000000000001,0.652,63,81,1189.0,486,26,0.5,2.0,260,0.599,16.8,82.0,0.19699999999999998,2.287636669470143,3.868797308662742,16.349873843566023,0.8746846089150546,0.0672834314550042,8.746846089150546,2.7586206896551726
maurice-ager-1,Maurice Ager,Player,michigan state,181,39,0.527,0.441,0.33299999999999996,0.775,124,77,3176.0,1554,62,0.38,202.0,424,0.5660000000000001,13.3,210.0,0.141,2.279596977329975,0.4911838790931989,19.571788413098236,0.7808564231738035,2.5440806045340048,5.3400503778337525,2.6448362720403025
jordan-farmar-1,Jordan Farmar,Player,ucla,342,12,0.478,0.41,0.369,0.76,66,74,2122.0,881,82,0.33299999999999996,97.0,196,0.526,22.9,248.0,0.122,6.44674835061263,0.2262016965127239,16.60697455230914,1.5457115928369465,1.8284637134778512,3.6946277097078233,4.67483506126296
kyle-lowry-1,Kyle Lowry,Player,villanova,171,13,0.465,0.449,0.5660000000000001,0.737,57,72,1524.0,543,108,0.325,13.0,219,0.531,17.7,110.0,0.171,4.488188976377954,0.34120734908136485,14.25196850393701,2.8346456692913384,0.34120734908136485,5.748031496062992,2.887139107611549
josh-boone-1,Josh Boone,Player,uconn,84,222,0.578,0.578,0.528,0.5589999999999999,103,82,2672.0,959,53,0.3291631116687577,0.0,718,0.58,14.2,137.0,0.213,1.2574850299401197,3.3233532934131738,14.356287425149699,0.7934131736526946,0.0,10.748502994011977,2.0508982035928143
shannon-brown-1,Shannon Brown,Player,michigan state,188,11,0.518,0.457,0.319,0.831,97,76,2712.0,1183,124,0.364,110.0,329,0.565,15.8,197.0,0.128,2.7728613569321543,0.16224188790560473,17.448377581120948,1.8289085545722716,1.6224188790560472,4.852507374631268,2.9056047197640114
rajon-rondo-1,Rajon Rondo,Player,kentucky,285,13,0.521,0.493,0.44,0.5770000000000001,68,73,1908.0,654,156,0.28300000000000003,28.0,306,0.536,19.5,148.0,0.163,5.9748427672955975,0.27253668763102723,13.710691823899369,3.2704402515723268,0.5870020964360587,6.415094339622642,3.1027253668763106
renaldo-balkman-1,Renaldo Balkman,Player,south carolina,176,112,0.5670000000000001,0.5529999999999999,0.396,0.5329999999999999,104,80,2193.0,771,123,0.29100000000000004,16.0,550,0.5660000000000001,20.2,172.0,0.213,3.2102143182854537,2.0428636570907432,14.062927496580029,2.243502051983584,0.2918376652986776,10.031919744642043,3.1372549019607843
quincy-douby-1,Quincy Douby,Player,rutgers,257,62,0.526,0.43200000000000005,0.251,0.82,95,75,3045.0,1690,121,0.389,251.0,274,0.562,12.0,205.0,0.175,3.3760262725779966,0.8144499178981937,22.200328407224962,1.5894909688013137,3.2972085385878493,3.599343185550082,2.6929392446633833
shawne-williams-1,Shawne Williams,Player,memphis,67,49,0.48,0.41600000000000004,0.387,0.7859999999999999,36,81,1002.0,474,50,0.312,48.0,222,0.534,15.4,81.0,0.213,2.6746506986027945,1.9560878243512976,18.922155688622755,1.996007984031936,1.916167664670659,8.862275449101798,3.2335329341317367
