Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total),Class
85.9,28.2,David West,1034,2003,18,13.6,0.141,1.5,25.8,NOH,Xavier,15,29144,14034,Player
-0.2,5.7,Troy Bell,6,2003,16,1.8,-0.326,-14.4,-0.1,BOS,Boston College,1,34,11,Bust
0.0,0.0,David Young,0,2004,41,0.0,0.0,0.0,0.0,SEA,NC Central,0,0,0,Bust
0.5,10.6,Justin Reed,136,2004,40,3.5,0.016,-5.9,-1.4,BOS,Ole Miss,3,1436,472,Player
25.0,25.6,Chris Duhon,606,2004,38,6.5,0.077,-1.5,2.0,CHI,Duke,9,15526,3946,Player
0.1,5.2,Andre Emmett,14,2004,35,1.4,0.04,-6.8,-0.1,SEA,Texas Tech,2,73,20,Bust
0.1,9.7,Antonio Burks,81,2004,36,2.3,0.004,-6.6,-0.9,ORL,Memphis,2,789,186,Bust
0.5,9.2,Donta Smith,61,2004,34,2.7,0.043,-3.2,-0.2,ATL,Southeastern Illinois College,2,560,165,Bust
-0.2,12.0,Lionel Chalmers,36,2004,33,3.1,-0.025,-6.3,-0.5,LAC,Xavier,1,433,111,Bust
61.5,29.7,Trevor Ariza,1047,2004,43,10.5,0.095,1.4,26.7,NYK,UCLA,16,31093,11035,Player
4.5,12.5,Royal Ivey,492,2004,37,3.3,0.035,-3.8,-2.8,ATL,Texas,10,6162,1641,Player
0.0,0.0,Tim Pickett,0,2004,44,0.0,0.0,0.0,0.0,NOH,Florida State,0,0,0,Bust
0.0,12.8,Jackson Vroman,87,2004,31,3.3,0.001,-3.9,-0.5,CHI,Iowa State,2,1111,285,Bust
0.8,11.6,Pape Sow,76,2004,47,2.9,0.044,-4.8,-0.6,MIA,"California State University, Fullerton",3,879,219,Player
0.0,0.0,Christian Drejer,0,2004,51,0.0,0.0,0.0,0.0,NJN,Florida,0,0,0,Bust
0.0,0.0,Romain Sato,0,2004,52,0.0,0.0,0.0,0.0,SAS,Xavier,0,0,0,Bust
-0.6,14.0,Matt Freije,42,2004,53,3.2,-0.047,-6.3,-0.6,MIA,Vanderbilt,2,588,133,Bust
0.0,0.0,Rickey Paulding,0,2004,54,0.0,0.0,0.0,0.0,DET,Missouri,0,0,0,Bust
0.0,4.8,Luis Flores,16,2004,55,2.2,-0.02,-9.6,-0.1,HOU,Manhattan College,1,77,35,Bust
0.0,0.0,Marcus Douthit,0,2004,56,0.0,0.0,0.0,0.0,LAL,Providence,0,0,0,Bust
0.0,0.0,Blake Stepp,0,2004,58,0.0,0.0,0.0,0.0,MIN,Gonzaga,0,0,0,Bust
0.0,0.0,Rashad Wright,0,2004,59,0.0,0.0,0.0,0.0,IND,Georgia,0,0,0,Bust
2.0,14.9,Bernard Robinson,128,2004,45,4.5,0.049,-2.0,0.0,CHA,Michigan,3,1909,576,Player
0.0,0.0,Ricky Minard,0,2004,48,0.0,0.0,0.0,0.0,SAC,Morehead State University,0,0,0,Bust
45.3,30.9,Emeka Okafor,616,2004,2,12.0,0.114,-0.4,7.6,CHA,UConn,10,19055,7370,Player
33.3,27.4,Ben Gordon,744,2004,3,14.9,0.078,-1.1,4.7,CHI,UConn,11,20366,11084,Player
54.9,24.3,Devin Harris,985,2004,5,10.8,0.11,0.3,13.7,WAS,Wisconsin,15,23963,10597,Player
25.7,26.7,Josh Childress,391,2004,6,9.1,0.118,1.3,8.6,ATL,Stanford,8,10432,3548,Player
74.0,34.3,Luol Deng,902,2004,7,14.8,0.115,0.9,22.6,PHO,Duke,15,30941,13361,Player
96.4,33.4,Andre Iguodala,1108,2004,9,12.1,0.125,2.9,45.5,PHI,Arizona,15,37034,13456,Player
0.2,9.9,Luke Jackson,73,2004,10,3.5,0.01,-4.4,-0.4,CLE,Oregon,4,724,252,Player
3.2,14.2,David Harrison,189,2004,29,5.0,0.057,-3.4,-1.0,IND,Colorado,4,2686,949,Player
-0.4,11.4,Rafael Araújo,139,2004,8,2.8,-0.013,-6.4,-1.8,TOR,BYU,3,1585,389,Player
30.3,17.8,Kris Humphries,800,2004,14,6.7,0.102,-2.0,0.1,UTA,Minnesota,13,14232,5350,Player
61.3,30.2,Kevin Martin,714,2004,26,17.4,0.137,0.1,11.3,SAC,Western Carolina University,12,21559,12396,Player
38.7,22.0,Tony Allen,820,2004,25,8.1,0.103,1.0,13.7,BOS,Oklahoma State,14,18055,6654,Player
24.5,27.4,Delonte West,432,2004,24,9.7,0.099,0.5,7.6,BOS,Saint Joseph's,8,11842,4198,Player
48.3,27.9,Jameer Nelson,878,2004,20,11.3,0.094,0.0,12.7,DEN,Saint Joseph's,14,24539,9940,Player
4.5,16.8,Kirk Snyder,211,2004,16,6.3,0.061,-2.0,0.0,UTA,Nevada,4,3540,1333,Player
0.5,8.5,Chris Taft,17,2005,42,2.8,0.155,-1.3,0.0,GSW,Pitt,1,144,47,Bust
5.6,14.9,Travis Diener,179,2005,38,4.8,0.102,-1.8,0.1,ORL,Marquette,5,2660,854,Player
19.2,17.0,Ronny Turiaf,473,2005,37,4.7,0.115,1.0,6.0,LAL,Gonzaga,10,8020,2209,Player
42.8,21.6,Brandon Bass,758,2005,33,8.7,0.125,-1.1,3.7,NOH,LSU,12,16410,6575,Player
3.3,12.4,Von Wafer,200,2005,39,5.3,0.064,-3.2,-0.7,LAL,Florida State,6,2475,1054,Player
-0.2,7.8,Alex Acker,30,2005,60,2.7,-0.043,-6.9,-0.3,DET,Pepperdine,2,234,81,Bust
19.4,27.6,Ryan Gomes,487,2005,50,10.1,0.069,-1.3,2.3,BOS,Providence,8,13463,4926,Player
0.0,9.2,Robert Whaley,23,2005,51,2.1,0.004,-3.5,-0.1,UTA,Walsh University,1,212,49,Bust
-0.7,11.9,Orien Greene,131,2005,53,2.5,-0.022,-3.8,-0.7,BOS,LA-Lafayette,4,1555,326,Player
0.2,5.8,Dijon Thompson,16,2005,54,2.8,0.102,-4.3,-0.1,NYK,UCLA,2,93,45,Bust
2.5,13.2,Lawrence Roberts,87,2005,55,3.8,0.106,-1.4,0.2,SEA,Mississippi State,2,1150,334,Bust
0.8,13.3,Daniel Ewing,127,2005,32,3.4,0.024,-3.7,-0.7,LAC,Duke,2,1683,431,Bust
0.5,12.5,Bracey Wright,26,2005,47,5.0,0.068,-3.7,-0.1,MIN,Indiana,2,325,129,Bust
2.2,17.0,Salim Stoudamire,157,2005,31,8.0,0.04,-5.1,-2.1,ATL,Arizona,3,2672,1260,Player
