win shares,mins played (per game),player,games,year,rank,points(per game),ws/48,box +/-,value overall replacement player,team,college,years,mins played (total),points (total),class,player_id,college_id,word,name,big_conf_flag,assists,blocks,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,games_played,height,minutes_played,points,steals,three_point_percentage,three_pointers,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_shares_per_40_minutes,assists_per_40,blocks_per_40,points_per_40,steals_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40
4.1,21.7,Courtney Alexander,187,2000,13,9.0,0.048,-4.0,-2.1,ORL,fresno state,3,4067,1690,Player,courtney-alexander-1,fresno state,fresno,Courtney Alexander,0,249,21,0.503,0.456,0.248,0.767,112,77,3456.0,2112,127,0.362,166.0,441,0.535,10.0,220.0,0.134,2.881944444444444,0.24305555555555555,24.444444444444446,1.4699074074074072,1.9212962962962963,5.104166666666666,2.5462962962962967
-0.8,11.2,Mateen Cleaves,167,2000,14,3.6,-0.021,-6.3,-2.0,DET,michigan state,6,1863,609,Player,mateen-cleaves-1,michigan state,michigan,Mateen Cleaves,1,816,16,0.459,0.406,0.324,0.738,123,74,2755.0,1541,195,0.313,143.0,256,0.502,25.0,353.0,0.128,11.8475499092559,0.2323049001814882,22.373865698729585,2.831215970961887,2.0762250453720505,3.716878402903811,5.1252268602540845
23.0,19.8,Joel Przybilla,592,2000,9,3.9,0.094,-0.9,3.3,HOU,minnesota,13,11733,2293,Player,joel-przybilla-1,minnesota,minnesota,Joel Przybilla,1,91,165,0.591,0.591,0.479,0.521,49,85,1351.0,487,33,0.3291618569636134,0.0,339,0.583,25.2,141.0,0.19,2.6943005181347153,4.885270170244263,14.418948926720947,0.9770540340488527,0.0,10.037009622501852,4.1746854182087345
1.8,12.4,Mamadou N'Diaye,69,2000,26,3.8,0.10099999999999999,-5.3,-0.7,DEN,auburn,5,858,262,Player,mamadou-ndiaye-1,auburn,auburn,Mamadou N'Diaye,1,76,241,0.506,0.506,0.587,0.641,128,84,2038.0,875,88,0.0,0.0,798,0.543,15.219621749408972,177.15248226950354,0.344,1.491658488714426,4.730127576054956,17.17369970559372,1.7271835132482827,0.0,15.662414131501471,3.4769868943965365
1.9,14.4,Jason Collier,151,2000,15,5.6,0.042,-6.3,-2.3,MIL,georgia tech,5,2178,841,Player,jason-collier-1,georgia tech,georgia,Jason Collier,1,118,110,0.491,0.458,0.428,0.711,97,84,2602.0,1345,60,0.369,69.0,693,0.535,17.9,256.0,0.134,1.813989239046887,1.6910069177555727,20.676402767102232,0.9223674096848578,1.0607225211375866,10.653343581860108,3.9354342813220597
35.7,27.2,Morris Peterson,711,2000,21,10.7,0.08900000000000001,0.0,9.7,TOR,michigan state,11,19366,7628,Player,morris-peterson-1,michigan state,michigan,Morris Peterson,1,129,42,0.547,0.484,0.367,0.746,137,79,2573.0,1588,119,0.377,146.0,645,0.582,12.8,170.0,0.257,2.0054411193159734,0.6529343179168285,24.68713563933152,1.8499805674310144,2.269724057520404,10.027205596579867,2.6428293820443063
4.7,16.2,Donnell Harvey,205,2000,22,5.6,0.069,-2.7,-0.6,NYK,florida,5,3318,1150,Player,donnell-harvey-1,florida,florida,Donnell Harvey,1,37,31,0.507,0.507,0.496,0.61,37,80,746.0,374,27,0.0,0.0,258,0.533,14.6,60.0,0.216,1.9839142091152815,1.6621983914209115,20.053619302949063,1.447721179624665,0.0,13.83378016085791,3.2171581769436997
27.7,21.5,Jamaal Magloire,680,2000,19,7.2,0.091,-2.9,-3.3,CHH,kentucky,12,14621,4917,Player,jamaal-magloire-1,kentucky,kentucky,Jamaal Magloire,1,62,268,0.503,0.503,0.554,0.636,145,83,2272.0,1064,68,0.3291618569636134,0.0,789,0.537,20.0,201.0,0.253,1.0915492957746478,4.718309859154929,18.732394366197184,1.1971830985915493,0.0,13.890845070422536,3.538732394366197
32.8,26.5,Quentin Richardson,783,2000,18,10.3,0.076,-0.3,8.9,LAC,depaul,13,20785,8032,Player,quentin-richardson-1,depaul,depaul,Quentin Richardson,0,104,17,0.519,0.454,0.338,0.728,64,78,2190.0,1147,59,0.369,117.0,652,0.553,11.8,138.0,0.185,1.899543378995434,0.3105022831050228,20.949771689497716,1.0776255707762556,2.136986301369863,11.908675799086758,2.5205479452054798
23.1,30.5,Desmond Mason,643,2000,17,12.1,0.055999999999999994,-2.4,-1.9,SEA,oklahoma state,10,19641,7767,Player,desmond-mason-1,oklahoma state,oklahoma,Desmond Mason,1,147,92,0.537,0.486,0.367,0.731,129,79,3868.0,1702,158,0.372,130.0,795,0.572,13.0,222.0,0.198,1.5201654601861427,0.9513960703205792,17.600827300930714,1.6339193381592554,1.344364012409514,8.221302998965873,2.295760082730093
